transaction_id,amount,merchant_category,country,hour_of_day,is_fraud
TXN-0000000,264.63,electronics,IND,21,0
TXN-0000001,193.0,electronics,BRA,19,0
TXN-0000002,256.86,grocery,USA,16,0
TXN-0000003,256.2,electronics,UK,13,0
TXN-0000004,248.3,electronics,IND,16,0
TXN-0000005,290.26,electronics,IND,18,0
TXN-0000006,112.21,restaurant,USA,15,0
TXN-0000007,329.87,travel,UK,20,0
TXN-0000008,108.04,travel,IND,9,0
TXN-0000009,114.29,restaurant,USA,20,0
TXN-0000010,311.86,electronics,UK,18,0
TXN-0000011,189.91,grocery,BRA,19,0
TXN-0000012,150.01,restaurant,IND,13,0
TXN-0000013,170.91,grocery,UK,12,0
TXN-0000014,154.86,travel,UK,19,0
TXN-0000015,372.89,travel,USA,17,0
TXN-0000016,231.73,restaurant,BRA,8,0
TXN-0000017,290.56,travel,UK,21,0
TXN-0000018,107.05,grocery,UK,20,0
TXN-0000019,14.72,electronics,IND,16,0
TXN-0000020,143.76,grocery,UK,21,0
TXN-0000021,280.21,electronics,UK,14,0
TXN-0000022,218.52,electronics,IND,22,0
TXN-0000023,280.32,electronics,BRA,20,0
TXN-0000024,152.88,travel,IND,13,0
TXN-0000025,263.97,travel,IND,8,0
TXN-0000026,415.27,grocery,BRA,13,0
TXN-0000027,336.17,restaurant,IND,12,0
TXN-0000028,196.98,travel,UK,19,0
TXN-0000029,188.13,travel,IND,22,0
TXN-0000030,231.59,electronics,BRA,21,0
TXN-0000031,61.5,grocery,UK,20,0
TXN-0000032,278.0,restaurant,BRA,20,0
TXN-0000033,177.36,travel,BRA,16,0
TXN-0000034,324.13,electronics,UK,9,0
TXN-0000035,39.58,grocery,USA,15,0
TXN-0000036,300.28,travel,IND,8,0
TXN-0000037,429.44,travel,BRA,12,0
TXN-0000038,260.53,travel,IND,16,0
TXN-0000039,129.28,grocery,UK,9,0
TXN-0000040,203.49,travel,IND,19,0
TXN-0000041,38.75,electronics,IND,17,0
TXN-0000042,182.61,electronics,USA,20,0
TXN-0000043,153.1,travel,USA,18,0
TXN-0000044,214.9,electronics,UK,14,0
TXN-0000045,246.23,electronics,IND,19,0
TXN-0000046,143.84,restaurant,USA,18,0
TXN-0000047,6.65,electronics,BRA,15,0
TXN-0000048,160.69,electronics,USA,8,0
TXN-0000049,115.89,electronics,BRA,10,0
TXN-0000050,204.68,grocery,UK,19,0
TXN-0000051,173.72,grocery,USA,21,0
TXN-0000052,140.21,restaurant,IND,20,0
TXN-0000053,255.85,restaurant,BRA,14,0
TXN-0000054,109.36,restaurant,BRA,19,0
TXN-0000055,186.98,travel,USA,22,0
TXN-0000056,72.39,restaurant,UK,13,0
TXN-0000057,211.98,electronics,UK,11,0
TXN-0000058,191.94,grocery,IND,21,0
TXN-0000059,14.32,restaurant,USA,12,0
TXN-0000060,107.4,electronics,USA,10,0
TXN-0000061,210.67,grocery,IND,14,0
TXN-0000062,32.85,grocery,IND,21,0
TXN-0000063,1047.82,restaurant,RO,2,1
TXN-0000064,250.13,electronics,BRA,16,0
TXN-0000065,310.57,grocery,BRA,15,0
TXN-0000066,205.88,restaurant,BRA,8,0
TXN-0000067,295.76,restaurant,BRA,15,0
TXN-0000068,162.67,grocery,USA,14,0
TXN-0000069,293.9,travel,USA,8,0
TXN-0000070,140.68,restaurant,IND,17,0
TXN-0000071,209.04,travel,UK,13,0
TXN-0000072,150.11,grocery,IND,8,0
TXN-0000073,101.96,restaurant,UK,18,0
TXN-0000074,160.63,travel,UK,19,0
TXN-0000075,149.32,travel,IND,9,0
TXN-0000076,33.82,restaurant,UK,17,0
TXN-0000077,248.16,grocery,BRA,16,0
TXN-0000078,258.7,travel,USA,19,0
TXN-0000079,214.0,grocery,BRA,22,0
TXN-0000080,276.08,electronics,USA,14,0
TXN-0000081,62.46,restaurant,USA,13,0
TXN-0000082,98.1,travel,BRA,18,0
TXN-0000083,384.54,electronics,IND,11,0
TXN-0000084,81.83,travel,BRA,12,0
TXN-0000085,263.02,travel,BRA,11,0
TXN-0000086,389.6,travel,IND,16,0
TXN-0000087,218.37,grocery,UK,21,0
TXN-0000088,183.75,travel,USA,13,0
TXN-0000089,137.95,restaurant,IND,8,0
TXN-0000090,124.99,travel,IND,19,0
TXN-0000091,96.11,travel,UK,16,0
TXN-0000092,430.32,electronics,USA,21,0
TXN-0000093,230.59,grocery,UK,20,0
TXN-0000094,236.48,grocery,BRA,8,0
TXN-0000095,132.11,restaurant,BRA,12,0
TXN-0000096,160.59,restaurant,UK,20,0
TXN-0000097,274.59,travel,IND,16,0
TXN-0000098,228.53,travel,USA,12,0
TXN-0000099,135.2,travel,USA,8,0
TXN-0000100,326.19,restaurant,UK,8,0
TXN-0000101,143.25,restaurant,BRA,11,0
TXN-0000102,215.11,travel,BRA,10,0
TXN-0000103,189.54,travel,UK,19,0
TXN-0000104,382.04,restaurant,USA,16,0
TXN-0000105,314.84,restaurant,BRA,20,0
TXN-0000106,51.57,travel,USA,17,0
TXN-0000107,82.39,grocery,UK,16,0
TXN-0000108,166.92,travel,UK,20,0
TXN-0000109,234.64,travel,IND,17,0
TXN-0000110,168.19,electronics,UK,11,0
TXN-0000111,312.99,electronics,UK,14,0
TXN-0000112,185.14,grocery,IND,19,0
TXN-0000113,317.59,electronics,UK,15,0
TXN-0000114,94.81,restaurant,BRA,15,0
TXN-0000115,143.42,restaurant,IND,21,0
TXN-0000116,334.19,grocery,IND,16,0
TXN-0000117,309.82,travel,USA,8,0
TXN-0000118,126.1,travel,IND,22,0
TXN-0000119,308.41,electronics,USA,22,0
TXN-0000120,141.66,electronics,USA,10,0
TXN-0000121,169.88,restaurant,USA,19,0
TXN-0000122,420.91,travel,BRA,8,0
TXN-0000123,94.66,grocery,USA,14,0
TXN-0000124,108.84,grocery,IND,12,0
TXN-0000125,340.41,travel,UK,22,0
TXN-0000126,112.25,electronics,BRA,18,0
TXN-0000127,59.96,electronics,IND,20,0
TXN-0000128,125.89,electronics,UK,14,0
TXN-0000129,267.86,restaurant,IND,20,0
TXN-0000130,191.76,electronics,USA,10,0
TXN-0000131,29.11,restaurant,UK,11,0
TXN-0000132,331.13,grocery,USA,18,0
TXN-0000133,207.31,restaurant,BRA,19,0
TXN-0000134,245.28,travel,BRA,21,0
TXN-0000135,258.25,travel,UK,22,0
TXN-0000136,288.42,restaurant,IND,17,0
TXN-0000137,325.91,travel,IND,11,0
TXN-0000138,46.66,electronics,IND,22,0
TXN-0000139,73.27,travel,BRA,21,0
TXN-0000140,64.61,travel,IND,20,0
TXN-0000141,98.52,restaurant,BRA,15,0
TXN-0000142,282.22,restaurant,UK,18,0
TXN-0000143,135.57,restaurant,IND,18,0
TXN-0000144,1020.06,travel,RO,0,1
TXN-0000145,353.84,electronics,IND,14,0
TXN-0000146,211.98,travel,UK,11,0
TXN-0000147,169.31,travel,BRA,15,0
TXN-0000148,181.15,restaurant,BRA,12,0
TXN-0000149,96.94,restaurant,USA,12,0
TXN-0000150,318.82,travel,UK,14,0
TXN-0000151,210.54,travel,IND,9,0
TXN-0000152,339.87,grocery,IND,22,0
TXN-0000153,211.72,grocery,USA,20,0
TXN-0000154,173.91,electronics,IND,16,0
TXN-0000155,303.48,electronics,IND,14,0
TXN-0000156,117.75,restaurant,USA,20,0
TXN-0000157,292.95,travel,USA,20,0
TXN-0000158,166.61,grocery,IND,22,0
TXN-0000159,64.21,electronics,UK,20,0
TXN-0000160,166.15,grocery,UK,16,0
TXN-0000161,243.3,electronics,IND,16,0
TXN-0000162,64.93,travel,USA,14,0
TXN-0000163,320.26,grocery,USA,9,0
TXN-0000164,421.83,grocery,IND,22,0
TXN-0000165,321.56,travel,USA,17,0
TXN-0000166,251.24,grocery,UK,16,0
TXN-0000167,212.68,grocery,UK,13,0
TXN-0000168,205.08,travel,BRA,14,0
TXN-0000169,208.69,restaurant,IND,9,0
TXN-0000170,231.23,restaurant,BRA,21,0
TXN-0000171,133.16,grocery,BRA,17,0
TXN-0000172,213.37,grocery,BRA,9,0
TXN-0000173,115.35,restaurant,UK,14,0
TXN-0000174,338.6,restaurant,UK,22,0
TXN-0000175,254.24,grocery,BRA,13,0
TXN-0000176,185.12,restaurant,BRA,21,0
TXN-0000177,112.57,electronics,IND,16,0
TXN-0000178,158.46,grocery,IND,14,0
TXN-0000179,996.31,electronics,UA,4,1
TXN-0000180,26.19,grocery,IND,18,0
TXN-0000181,130.83,electronics,IND,13,0
TXN-0000182,164.68,restaurant,USA,13,0
TXN-0000183,120.52,restaurant,USA,19,0
TXN-0000184,139.79,restaurant,USA,17,0
TXN-0000185,255.67,grocery,USA,11,0
TXN-0000186,348.57,restaurant,UK,16,0
TXN-0000187,317.51,restaurant,UK,15,0
TXN-0000188,13.46,restaurant,USA,22,0
TXN-0000189,231.92,travel,USA,13,0
TXN-0000190,467.37,grocery,USA,15,0
TXN-0000191,91.48,restaurant,USA,19,0
TXN-0000192,350.76,electronics,IND,9,0
TXN-0000193,356.35,grocery,USA,8,0
TXN-0000194,185.77,restaurant,UK,21,0
TXN-0000195,251.85,travel,UK,8,0
TXN-0000196,124.37,grocery,UK,22,0
TXN-0000197,63.86,grocery,BRA,14,0
TXN-0000198,99.57,restaurant,USA,12,0
TXN-0000199,752.7,travel,UA,0,1
TXN-0000200,45.02,grocery,IND,22,0
TXN-0000201,326.33,electronics,USA,18,0
TXN-0000202,171.92,restaurant,BRA,20,0
TXN-0000203,327.62,travel,BRA,18,0
TXN-0000204,228.12,grocery,UK,11,0
TXN-0000205,69.04,grocery,USA,9,0
TXN-0000206,164.74,electronics,UK,21,0
TXN-0000207,30.27,electronics,UK,18,0
TXN-0000208,40.31,electronics,BRA,13,0
TXN-0000209,200.38,grocery,UK,13,0
TXN-0000210,276.69,electronics,UK,21,0
TXN-0000211,167.65,electronics,IND,11,0
TXN-0000212,12.67,restaurant,IND,15,0
TXN-0000213,89.27,grocery,IND,21,0
TXN-0000214,238.97,travel,UK,13,0
TXN-0000215,264.11,grocery,USA,17,0
TXN-0000216,229.6,grocery,USA,14,0
TXN-0000217,67.43,electronics,BRA,11,0
TXN-0000218,901.83,grocery,UA,0,1
TXN-0000219,230.49,grocery,IND,20,0
TXN-0000220,284.03,grocery,UK,13,0
TXN-0000221,85.45,electronics,UK,20,0
TXN-0000222,188.98,restaurant,UK,15,0
TXN-0000223,8.34,restaurant,USA,15,0
TXN-0000224,700.47,grocery,UA,2,1
TXN-0000225,264.56,restaurant,UK,10,0
TXN-0000226,279.68,grocery,BRA,14,0
TXN-0000227,101.68,travel,IND,9,0
TXN-0000228,265.99,restaurant,USA,19,0
TXN-0000229,344.11,electronics,BRA,13,0
TXN-0000230,278.39,travel,IND,16,0
TXN-0000231,267.82,grocery,BRA,20,0
TXN-0000232,119.3,grocery,IND,21,0
TXN-0000233,329.49,grocery,UK,14,0
TXN-0000234,203.63,grocery,USA,19,0
TXN-0000235,80.32,grocery,USA,11,0
TXN-0000236,184.68,restaurant,UK,11,0
TXN-0000237,204.57,grocery,USA,15,0
TXN-0000238,305.0,restaurant,USA,22,0
TXN-0000239,356.24,restaurant,BRA,22,0
TXN-0000240,280.48,electronics,USA,13,0
TXN-0000241,166.46,restaurant,UK,17,0
